Charge equilibration on step 10
  iteration: 24, enegtot 4.779, enegmax 3.24151, fq deviation: 0.30241
  iteration: 25, enegtot 4.75624, enegmax 3.2318, fq deviation: 0.350955
  iteration: 26, enegtot 4.74587, enegmax 3.93398, fq deviation: 0.38861
  iteration: 27, enegtot 4.75537, enegmax 4.9085, fq deviation: 0.397748
  iteration: 28, enegtot 4.78414, enegmax 4.19342, fq deviation: 0.370179
  iteration: 29, enegtot 4.81985, enegmax 2.61543, fq deviation: 0.340688
  iteration: 30, enegtot 4.85019, enegmax 2.40272, fq deviation: 0.304117
  iteration: 31, enegtot 4.87004, enegmax 2.29648, fq deviation: 0.319757
  iteration: 32, enegtot 4.87637, enegmax 2.20742, fq deviation: 0.337078
  iteration: 33, enegtot 4.86582, enegmax 2.80673, fq deviation: 0.378477
  iteration: 34, enegtot 4.84257, enegmax 5.61479, fq deviation: 0.391072
  iteration: 35, enegtot 4.82435, enegmax 6.54361, fq deviation: 0.363728
  iteration: 36, enegtot 4.82048, enegmax 4.72872, fq deviation: 0.37651
  iteration: 37, enegtot 4.81863, enegmax 4.63509, fq deviation: 0.400677
  iteration: 38, enegtot 4.81605, enegmax 6.42884, fq deviation: 0.397206
  iteration: 39, enegtot 4.82146, enegmax 5.53938, fq deviation: 0.386038
  iteration: 40, enegtot 4.82524, enegmax 2.9237, fq deviation: 0.402178
  iteration: 41, enegtot 4.81582, enegmax 4.67797, fq deviation: 0.444097
  iteration: 42, enegtot 4.80798, enegmax 7.38385, fq deviation: 0.439816
  iteration: 43, enegtot 4.82848, enegmax 6.94724, fq deviation: 0.392345
  iteration: 44, enegtot 4.87007, enegmax 3.89469, fq deviation: 0.410917
  iteration: 45, enegtot 4.90377, enegmax 1.43578, fq deviation: 0.417982
  iteration: 46, enegtot 4.91834, enegmax 1.68825, fq deviation: 0.412727
  iteration: 47, enegtot 4.91907, enegmax 3.04607, fq deviation: 0.363345
  iteration: 48, enegtot 4.91674, enegmax 3.72627, fq deviation: 0.355834
  iteration: 49, enegtot 4.91924, enegmax 3.34819, fq deviation: 0.390005
  iteration: 50, enegtot 4.92691, enegmax 2.18798, fq deviation: 0.390759
  iteration: 51, enegtot 4.93499, enegmax 1.44227, fq deviation: 0.369228
  iteration: 52, enegtot 4.93871, enegmax 1.48688, fq deviation: 0.353111
  iteration: 53, enegtot 4.93594, enegmax 1.39897, fq deviation: 0.329249
  iteration: 54, enegtot 4.92835, enegmax 1.67348, fq deviation: 0.312102
  iteration: 55, enegtot 4.92118, enegmax 1.83843, fq deviation: 0.316528
